Time,Price,Volume,Value,Reason,Condition Code,Trade No,DS
"17:04:07","70","596","417","ASK","","5527440","JSE",
"17:00:42","70","0","0","-","UT","5496974","JSE",
"17:00:42","70","54,382","38,067","MATCH","","5496970","JSE",
"16:40:47","70","456","319","ASK","","5216190","JSE",
"16:40:47","70","18,670","13,069","ASK","","5216180","JSE",
"16:40:00","70","4,187","2,931","-","","5197940","JSE",
"16:40:00","70","12,000","8,400","ASK","","5197930","JSE",
"16:40:00","70","408","286","ASK","","5197920","JSE",
"16:40:00","70","2,700","1,890","ASK","","5197910","JSE",
"16:40:00","70","3,535","2,475","ASK","","5197900","JSE",
"16:35:05","71","8,000","5,680","BID","","5052130","JSE",
"16:31:01","71","25,000","17,750","BID","","4945380","JSE",
"16:28:10","71","11,499","8,164","BID","","4879250","JSE",
"16:28:10","71","18,501","13,136","BID","","4879240","JSE",
"16:25:13","70","12,935","9,055","ASK","","4823730","JSE",
"16:25:13","70","2,065","1,446","ASK","","4823720","JSE",
"16:25:13","70","5,000","3,500","ASK","","4823710","JSE",
"16:16:06","70","15,000","10,500","ASK","","4656700","JSE",
"16:16:06","70","20,000","14,000","ASK","","4656690","JSE",
"15:56:16","71","66,364","47,118","-","","4228610","JSE",
"15:56:16","71","16,455","11,683","BID","","4228600","JSE",
"15:56:16","71","17,181","12,199","BID","","4228590","JSE",
"15:39:40","71","13,412","9,523","-","","3945070","JSE",
"15:39:40","71","16,588","11,777","BID","","3945060","JSE",
"15:27:43","71","22,692","16,111","-","","3722450","JSE",
"15:27:43","71","17,308","12,289","BID","","3722440","JSE",
"15:26:48","71","13,323","9,459","-","","3712010","JSE",
"15:26:48","71","16,677","11,841","BID","","3712000","JSE",
"15:23:59","71","691","491","BID","","3675050","JSE",
"15:22:59","71","13,455","9,553","-","","3667610","JSE",
"15:22:59","71","16,545","11,747","BID","","3667600","JSE",
"15:21:18","71","18,122","12,867","-","","3644640","JSE",
"15:21:18","71","1,878","1,333","BID","","3644630","JSE",
"14:53:30","71","15,000","10,650","BID","","3278840","JSE",
"14:53:30","71","23,897","16,967","-","","3278700","JSE",
"14:53:30","71","16,103","11,433","BID","","3278690","JSE",
"14:52:00","70","40,292","28,204","-","","3251970","JSE",
"14:52:00","70","8,815","6,171","BID","","3251960","JSE",
"14:52:00","70","80,316","56,221","-","","3251900","JSE",
"14:52:00","70","8,924","6,247","BID","","3251890","JSE",
"14:50:40","70","16,732","11,712","-","","3234620","JSE",
"14:50:40","70","8,268","5,788","BID","","3234610","JSE",
"14:38:02","70","41,351","28,946","-","","3067360","JSE",
"14:38:02","70","8,649","6,054","BID","","3067350","JSE",
"14:36:06","70","15,148","10,604","-","","3040070","JSE",
"14:36:06","70","9,852","6,896","BID","","3040060","JSE",
"14:32:44","70","10,000","7,000","BID","","3004660","JSE",
"14:31:39","69","229","158","ASK","","2995310","JSE",
"14:31:39","70","271","190","ASK","","2995300","JSE",
"14:31:36","71","8,594","6,102","-","","2995020","JSE",
"14:31:36","71","5,057","3,590","-","","2995010","JSE",
"14:31:36","71","17,048","12,104","BID","","2995000","JSE",
"14:31:36","71","9,301","6,604","BID","","2994990","JSE",
"14:30:01","71","15,032","10,673","-","","2975080","JSE",
"14:30:01","71","8,821","6,263","-","","2975070","JSE",
"14:30:01","71","16,407","11,649","BID","","2975060","JSE",
"14:30:01","71","9,740","6,915","BID","","2975050","JSE",
"14:26:10","71","800","568","-","","2944280","JSE",
"14:26:10","71","471","334","-","","2944270","JSE",
"14:26:10","71","20,000","14,200","BID","","2944260","JSE",
"14:26:10","71","8,729","6,198","BID","","2944250","JSE",
"14:23:17","71","39,594","28,112","-","","2921970","JSE",
"14:23:17","71","406","288","BID","","2921960","JSE",
"14:17:59","71","8,000","5,680","BID","","2881250","JSE",
"14:17:53","71","9,819","6,971","BID","","2880610","JSE",
"14:17:37","71","71,855","51,017","-","","2879060","JSE",
"14:17:37","71","8,145","5,783","BID","","2879050","JSE",
"14:17:04","71","30,364","21,558","-","","2874800","JSE",
"14:17:04","71","148","105","BID","","2874790","JSE",
"14:17:04","71","9,488","6,736","BID","","2874780","JSE",
"14:16:45","71","21,863","15,523","-","","2872640","JSE",
"14:16:45","71","10,000","7,100","BID","","2872630","JSE",
"14:16:45","70","29,354","20,548","-","","2872620","JSE",
"14:16:45","70","18,783","13,148","BID","","2872610","JSE",
"14:14:29","70","50,000","35,000","BID","","2854550","JSE",
"14:14:29","70","16,474","11,532","BID","","2854540","JSE",
"14:13:46","70","23,250","16,275","-","","2848600","JSE",
"14:13:46","70","16,750","11,725","BID","","2848590","JSE",
"14:12:51","70","17,582","12,307","BID","","2843010","JSE",
"14:12:51","70","31,840","22,288","-","","2843000","JSE",
"14:12:51","70","18,160","12,712","BID","","2842990","JSE",
"14:12:42","70","21,741","15,219","-","","2841960","JSE",
"14:12:42","70","18,259","12,781","BID","","2841950","JSE",
"14:12:42","70","16,636","11,645","BID","","2841940","JSE",
"14:12:30","70","15,082","10,557","-","","2840750","JSE",
"14:12:30","70","19,918","13,943","BID","","2840740","JSE",
"14:12:15","70","23,303","16,312","-","","2839500","JSE",
"14:12:15","70","16,697","11,688","BID","","2839490","JSE",
"14:11:26","70","16,521","11,565","BID","","2834210","JSE",
"14:11:26","70","12,912","9,038","-","","2834200","JSE",
"14:11:26","70","17,088","11,962","BID","","2834190","JSE",
"14:10:47","70","16,650","11,655","BID","","2826510","JSE",
"14:09:44","70","113,000","79,100","-","","2814350","JSE",
"14:09:44","70","20,000","14,000","BID","","2814340","JSE",
"14:09:44","70","80,000","56,000","BID","","2814330","JSE",
"14:08:20","70","20,000","14,000","BID","","2795540","JSE",
"14:05:49","70","19,995","13,997","ASK","","2779170","JSE",
"14:05:49","70","60,000","42,000","ASK","","2779160","JSE",
"14:02:52","73","50,000","36,500","-","","2753130","JSE",
"14:02:52","73","40,000","29,200","BID","","2753120","JSE",
"14:02:32","73","10,000","7,300","BID","","2751670","JSE",
"14:01:37","70","8,420","5,894","BID","","2742500","JSE",
"14:01:36","70","14,200","9,940","ASK","","2742350","JSE",
"14:01:36","70","47,588","33,312","ASK","","2742340","JSE",
"14:01:35","70","27,412","19,188","ASK","","2740810","JSE",
"14:01:35","70","50,000","35,000","ASK","","2740800","JSE",
"14:01:35","71","62,588","44,437","ASK","","2740790","JSE",
"14:01:14","71","42,649","30,281","BID","","2737530","JSE",
"14:01:14","71","95,000","67,450","ASK","","2737520","JSE",
"14:01:14","72","151","109","ASK","","2737510","JSE",
"14:01:14","73","2,200","1,606","ASK","","2737500","JSE",
"14:00:05","72","92,310","66,463","ASK","","2724590","JSE",
"14:00:05","73","8,690","6,344","ASK","","2724580","JSE",
"14:00:05","73","9,000","6,570","ASK","","2724570","JSE",
"13:59:21","75","2,000","1,500","BID","","2717120","JSE",
"13:59:21","75","38,000","28,500","BID","","2717110","JSE",
"13:59:11","72","11,157","8,033","ASK","","2713460","JSE",
"13:59:11","74","38,843","28,744","ASK","","2713450","JSE",
"13:54:52","75","172,217","129,163","ASK","","2683750","JSE",
"13:54:52","75","53,410","40,058","ASK","","2683740","JSE",
"13:54:52","75","50,000","37,500","BID","","2683730","JSE",
"13:54:52","75","20,000","15,000","BID","","2683720","JSE",
"13:54:52","75","443","332","BID","","2683710","JSE",
"13:54:52","75","11,021","8,266","BID","","2683700","JSE",
"13:54:52","74","22,716","16,810","BID","","2683690","JSE",
"13:54:52","74","8,872","6,565","BID","","2683680","JSE",
"13:54:52","73","5,000","3,650","BID","","2683670","JSE",
"13:54:52","73","50,000","36,500","BID","","2683660","JSE",
"13:54:52","73","6,321","4,614","BID","","2683650","JSE",
"13:53:41","72","5,000","3,600","BID","","2674940","JSE",
"13:50:47","73","11,179","8,161","BID","","2647960","JSE",
"13:50:47","72","8,821","6,351","BID","","2647950","JSE",
"13:46:37","73","2,500","1,825","BID","","2607820","JSE",
"13:45:45","70","13,136","9,195","BID","","2600740","JSE",
"13:45:45","70","6,284","4,399","-","","2600730","JSE",
"13:45:45","70","18,716","13,101","BID","","2600720","JSE",
"13:45:44","70","16,362","11,453","BID","","2600700","JSE",
"13:45:44","70","8,262","5,783","-","","2600690","JSE",
"13:45:44","70","16,738","11,717","BID","","2600680","JSE",
"13:45:44","70","16,172","11,320","BID","","2600570","JSE",
"13:45:44","70","18,821","13,175","BID","","2600560","JSE",
"13:45:42","70","32,917","23,042","-","","2600510","JSE",
"13:45:42","70","4,362","3,053","BID","","2600500","JSE",
"13:45:42","70","12,721","8,905","BID","","2600490","JSE",
"13:45:42","70","6,337","4,436","BID","","2600450","JSE",
"13:45:42","70","43,663","30,564","BID","","2600440","JSE",
"13:45:38","70","17,303","12,112","BID","","2599920","JSE",
"13:45:38","70","894","626","-","","2599910","JSE",
"13:45:38","70","3,424","2,397","-","","2599900","JSE",
"13:45:38","70","45,682","31,977","BID","","2599890","JSE",
"13:45:38","70","11,208","7,846","BID","","2599880","JSE",
"13:45:37","70","7,654","5,358","BID","","2599580","JSE",
"13:45:37","70","42,346","29,642","BID","","2599570","JSE",
"13:45:35","70","16,739","11,717","BID","","2597990","JSE",
"13:45:35","70","36,671","25,670","BID","","2597980","JSE",
"12:29:01","69","15,000","10,350","ASK","","1771350","JSE",
"12:25:43","69","557","384","ASK","","1739070","JSE",
"12:15:30","70","5,775","4,043","MATCH","","1628450","JSE",
"11:37:59","70","20,548","14,384","-","","1308030","JSE",
"11:37:59","70","16,546","11,582","-","","1308020","JSE",
"11:37:59","70","18,215","12,751","BID","","1308010","JSE",
"11:37:59","70","44,691","31,284","BID","","1308000","JSE",
"11:36:51","70","18,537","12,976","BID","","1297890","JSE",
"11:36:51","70","11,826","8,278","BID","","1297880","JSE",
"11:36:28","70","37,286","26,100","BID","","1294570","JSE",
"11:36:28","70","12,714","8,900","BID","","1294560","JSE",
"11:36:17","70","6,905","4,834","BID","","1293020","JSE",
"11:36:17","70","43,095","30,167","BID","","1293010","JSE",
"11:35:59","70","18,770","13,139","BID","","1291280","JSE",
"11:35:59","70","23,192","16,234","-","","1291270","JSE",
"11:35:59","70","22,193","15,535","-","","1291260","JSE",
"11:35:59","70","41,118","28,783","BID","","1291250","JSE",
"11:35:59","70","13,497","9,448","BID","","1291240","JSE",
"11:35:43","70","4,441","3,109","BID","","1287410","JSE",
"11:35:43","70","45,559","31,891","BID","","1287400","JSE",
"11:35:35","70","5,907","4,135","-","","1285890","JSE",
"11:35:35","70","7,294","5,106","-","","1285880","JSE",
"11:35:35","70","19,377","13,564","BID","","1285870","JSE",
"11:35:35","70","17,422","12,195","BID","","1285860","JSE",
"11:35:24","70","32,578","22,805","BID","","1284720","JSE",
"11:35:24","70","17,422","12,195","BID","","1284710","JSE",
"11:26:32","70","21,001","14,701","-","","1220090","JSE",
"11:26:32","70","7,986","5,590","-","","1220080","JSE",
"11:26:32","70","18,490","12,943","BID","","1220070","JSE",
"11:26:32","70","42,523","29,766","BID","","1220060","JSE",
"11:26:23","70","16,072","11,250","BID","","1219080","JSE",
"11:26:23","70","10,276","7,193","-","","1219070","JSE",
"11:26:23","70","23,117","16,182","-","","1219060","JSE",
"11:26:23","70","46,969","32,878","BID","","1219050","JSE",
"11:26:23","70","4,638","3,247","BID","","1219040","JSE",
"11:25:59","70","15,362","10,753","BID","","1216930","JSE",
"11:25:59","70","34,638","24,247","BID","","1216920","JSE",
"11:14:31","70","15,000","10,500","BID","","1124280","JSE",
"11:14:21","70","7,593","5,315","-","","1123140","JSE",
"11:14:21","70","42,407","29,685","BID","","1123130","JSE",
"11:14:12","70","49,076","34,353","-","","1122190","JSE",
"11:14:12","70","924","647","BID","","1122180","JSE",
"11:13:17","70","40,000","28,000","BID","","1114030","JSE",
"11:13:06","70","50,000","35,000","BID","","1110500","JSE",
"11:12:34","70","20,000","14,000","BID","","1105940","JSE",
"10:52:17","70","23,000","16,100","BID","","909680","JSE",
"10:52:09","70","27,538","19,277","BID","","909050","JSE",
"10:46:45","70","14,897","10,428","BID","","866540","JSE",
"10:46:45","70","5,103","3,572","BID","","866530","JSE",
"10:45:03","69","189,926","131,049","ASK","","854160","JSE",
"10:39:35","69","9,000","6,210","ASK","","810670","JSE",
"09:41:34","70","50,000","35,000","BID","","302880","JSE",
"09:41:34","70","50,000","35,000","BID","","302870","JSE",
"09:36:11","69","27,000","18,630","ASK","","266590","JSE",
"09:32:10","69","3,000","2,070","ASK","","230730","JSE",
